K	N
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	2
130	10
131	20
132	53
133	97
134	149
135	234
136	265
137	292
138	282
139	300
140	284
141	261
142	308
143	327
144	343
145	343
146	307
147	348
148	334
149	373
150	361
151	381
152	380
153	365
154	375
155	411
156	367
157	422
158	369
159	406
160	439
161	406
162	424
163	425
164	449
165	406
166	448
167	453
168	478
169	516
170	472
171	526
172	515
173	528
174	525
175	502
176	570
177	525
178	499
179	597
180	570
181	580
182	646
183	623
184	629
185	627
186	687
187	671
188	712
189	776
190	733
191	751
192	815
193	813
194	822
195	899
196	846
197	875
198	908
199	1027
200	1064
201	1053
202	1093
203	1169
204	1170
205	1313
206	1255
207	1403
208	1403
209	1450
210	1601
211	1661
212	1747
213	1787
214	1894
215	2100
216	2075
217	2255
218	2330
219	2365
220	2436
221	2558
222	2761
223	2811
224	2923
225	3073
226	3141
227	3324
228	3247
229	3342
230	3479
231	3564
232	3619
233	3659
234	3707
235	3805
236	3797
237	3757
238	3871
239	3782
240	3869
241	3727
242	3716
243	3716
244	3578
245	3533
246	3561
247	3389
248	3294
249	3252
250	3173
251	2947
252	2943
253	2972
254	2822
255	2661
256	2600
257	2513
258	2435
259	2393
260	2242
261	2166
262	2044
263	1949
264	1884
265	1869
266	1748
267	1661
268	1663
269	1658
270	1612
271	1597
272	1517
273	1439
274	1484
275	1408
276	1368
277	1370
278	1318
279	1310
280	1247
281	1252
282	1140
283	1166
284	1177
285	1055
286	1107
287	1010
288	998
289	976
290	912
291	943
292	836
293	860
294	813
295	766
296	722
297	678
298	661
299	651
300	589
301	624
302	546
303	514
304	511
305	457
306	474
307	449
308	421
309	403
310	383
311	358
312	352
313	363
314	341
315	326
316	355
317	319
318	303
319	316
320	268
321	289
322	273
323	264
324	236
325	281
326	284
327	265
328	261
329	274
330	258
331	284
332	277
333	269
334	268
335	257
336	247
337	245
338	236
339	250
340	263
341	252
342	268
343	234
344	215
345	269
346	261
347	260
348	269
349	294
350	259
351	289
352	268
353	265
354	269
355	262
356	276
357	268
358	272
359	268
360	263
361	266
362	305
363	298
364	284
365	302
366	288
367	296
368	287
369	280
370	273
371	306
372	290
373	284
374	285
375	313
376	292
377	313
378	327
379	324
380	325
381	305
382	310
383	317
384	290
385	317
386	353
387	318
388	298
389	331
390	327
391	333
392	320
393	311
394	313
395	354
396	314
397	341
398	363
399	356
400	375
401	354
402	391
403	368
404	349
405	383
406	393
407	393
408	360
409	378
410	373
411	384
412	396
413	423
414	403
415	389
416	375
417	415
418	418
419	416
420	432
421	451
422	429
423	421
424	479
425	425
426	441
427	451
428	411
429	448
430	503
431	475
432	485
433	496
434	504
435	532
436	461
437	464
438	509
439	508
440	544
441	546
442	529
443	529
444	548
445	533
446	539
447	535
448	535
449	518
450	529
451	484
452	508
453	512
454	547
455	547
456	526
457	530
458	534
459	552
460	518
461	547
462	532
463	541
464	558
465	536
466	493
467	509
468	501
469	487
470	536
471	547
472	513
473	516
474	508
475	542
476	524
477	489
478	524
479	540
480	578
481	527
482	549
483	547
484	476
485	519
486	527
487	577
488	511
489	568
490	564
491	502
492	538
493	566
494	549
495	558
496	523
497	593
498	541
499	544
500	573
501	580
502	552
503	598
504	573
505	611
506	505
507	600
508	556
509	604
510	588
